,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
8396,9017.70833,66.9,2000-06-24,00:00:00,17.6,37.857565277141546,2000,2
8444,8433.62833,45.04,2000-06-25,00:00:00,16.2,37.857565277141546,2000,2
8492,8012.38,38.42,2000-06-26,00:00:00,19.2,37.857565277141546,2000,2
8540,8856.95,66.38,2000-06-27,00:00:00,15.5,37.857565277141546,2000,2
8588,8900.79333,55.88,2000-06-28,00:00:00,20.6,37.857565277141546,2000,2
8636,8768.94,61.73,2000-06-29,00:00:00,16.0,37.857565277141546,2000,2
8684,9340.055,77.58,2000-06-30,00:00:00,15.8,37.857565277141546,2000,2
8732,9128.485,72.53,2000-07-01,00:00:00,14.8,46.392149490373725,2000,3
8780,8200.715,42.52,2000-07-02,00:00:00,15.7,46.392149490373725,2000,3
8828,7852.27167,37.45,2000-07-03,00:00:00,16.3,46.392149490373725,2000,3
8876,8756.59,53.32,2000-07-04,00:00:00,15.8,46.392149490373725,2000,3
8924,8878.585,45.16,2000-07-05,00:00:00,16.2,46.392149490373725,2000,3
8972,8944.475,53.22,2000-07-06,00:00:00,18.2,46.392149490373725,2000,3
9020,8957.115,47.6,2000-07-07,00:00:00,18.9,46.392149490373725,2000,3
9068,8997.77167,57.05,2000-07-08,00:00:00,19.1,46.392149490373725,2000,3
9116,8234.32833,39.26,2000-07-09,00:00:00,19.8,46.392149490373725,2000,3
9164,8113.94667,44.77,2000-07-10,00:00:00,19.4,46.392149490373725,2000,3
9212,8788.84,45.6,2000-07-11,00:00:00,15.7,46.392149490373725,2000,3
9260,8927.04667,61.53,2000-07-12,00:00:00,17.0,46.392149490373725,2000,3
9308,8999.11167,67.02,2000-07-13,00:00:00,15.3,46.392149490373725,2000,3
9356,9188.56667,88.2,2000-07-14,00:00:00,15.9,46.392149490373725,2000,3
9404,9203.98333,88.07,2000-07-15,00:00:00,18.3,46.392149490373725,2000,3
9452,8476.86,92.32,2000-07-16,00:00:00,17.2,46.392149490373725,2000,3
9500,8215.02,58.26,2000-07-17,00:00:00,16.3,46.392149490373725,2000,3
9548,8979.49833,79.32,2000-07-18,00:00:00,15.5,46.392149490373725,2000,3
9596,8991.11167,52.94,2000-07-19,00:00:00,18.8,46.392149490373725,2000,3
